epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,11.9953,2.1489,6.78913,0.01067,0.43457,0.0942,0.0889,0.04411,2.36459,3.97984,0.01109,0.00196875,0.00065625,0.00196875,0.00065625,0.00196875,0.00065625,0.00196875,0.00065625
2,18.9753,1.67803,3.19179,0.00735,0.55774,0.31072,0.26115,0.16383,2.06485,2.22751,0.00888,0.00389017,0.00129672,0.00389017,0.00129672,0.00389017,0.00129672,0.00389017,0.00129672
3,25.7269,1.58402,1.74068,0.00711,0.82732,0.35507,0.52238,0.28863,1.92974,1.47507,0.00768,0.00573239,0.0019108,0.00573239,0.0019108,0.00573239,0.0019108,0.00573239,0.0019108
4,32.4049,1.59678,1.25606,0.0064,0.73221,0.5942,0.66054,0.31834,1.88439,1.34628,0.00753,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
5,39.2091,1.56,1.01839,0.00587,0.85802,0.58696,0.69146,0.31349,1.88362,1.10617,0.00729,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
6,45.7511,1.57008,0.91718,0.00609,0.81468,0.70084,0.74835,0.36745,1.78467,1.06997,0.00696,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
7,52.5079,1.61823,0.90475,0.006,0.81704,0.62319,0.72949,0.35726,1.75021,1.01005,0.00677,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
8,59.1943,1.60043,0.90838,0.00585,0.83815,0.68841,0.78724,0.40293,1.71428,0.8997,0.00656,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
9,65.9158,1.52092,0.86899,0.00529,0.81233,0.65942,0.75794,0.3827,1.72992,0.93802,0.00682,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
10,72.6348,1.50564,0.85672,0.00553,0.86061,0.73188,0.80364,0.44439,1.61721,0.84234,0.0065,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
11,79.435,1.4664,0.78417,0.00531,0.83188,0.73188,0.82071,0.44071,1.64396,0.83535,0.00674,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
12,86.1743,1.40181,0.80442,0.00504,0.87489,0.73188,0.83789,0.45897,1.5847,0.82091,0.0058,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
13,92.9737,1.41322,0.77669,0.00547,0.88653,0.73602,0.83967,0.46237,1.58025,0.76537,0.00562,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
14,99.754,1.39167,0.73072,0.00509,0.92408,0.70561,0.82512,0.45343,1.56847,0.79577,0.00575,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
