filepath,xmin,xmax,ymin,ymax
Data/images/N199.xml,45,112,206,255
Data/images/N242.xml,202,386,190,227
Data/images/N229.xml,358,1031,294,540
Data/images/N148.xml,244,369,240,293
Data/images/N63.xml,297,422,174,218
Data/images/N21.xml,244,403,221,258
Data/images/N62.xml,289,421,188,232
Data/images/N239.xml,106,263,238,276
Data/images/N121.xml,311,506,324,370
Data/images/N73.xml,124,209,102,130
Data/images/N82.xml,456,651,722,778
Data/images/N133.xml,795,1095,751,840
Data/images/N17.xml,88,216,507,556
Data/images/N25.xml,132,235,169,193
Data/images/N142.xml,66,174,234,259
Data/images/N19.xml,99,216,367,423
Data/images/N46.xml,454,797,109,234
Data/images/N126.xml,149,399,269,327
Data/images/N236.xml,313,380,111,141
Data/images/N209.xml,145,319,200,244
Data/images/N215.xml,85,258,390,446
Data/images/N31.xml,256,381,233,261
Data/images/N164.xml,248,421,121,174
Data/images/N213.xml,131,209,129,153
Data/images/N179.xml,203,297,217,240
Data/images/N186.xml,464,561,286,344
Data/images/N79.xml,113,277,288,347
Data/images/N131.xml,198,349,107,143
Data/images/N134.xml,230,365,188,219
Data/images/N210.xml,143,337,210,254
Data/images/N222.xml,127,183,122,156
Data/images/N1.xml,1093,1396,645,727
Data/images/N20.xml,498,796,729,814
Data/images/N191.xml,317,568,319,397
Data/images/N81.xml,66,174,302,332
Data/images/N220.xml,182,349,238,273
Data/images/N241.xml,251,542,308,385
Data/images/N165.xml,186,374,290,335
Data/images/N74.xml,161,366,210,250
Data/images/N9.xml,142,441,55,167
Data/images/N170.xml,299,442,337,386
Data/images/N44.xml,113,257,282,322
Data/images/N96.xml,137,352,141,186
Data/images/N16.xml,887,1173,625,696
Data/images/N77.xml,361,566,190,297
Data/images/N92.xml,113,420,209,260
Data/images/N12.xml,976,1284,669,754
Data/images/N43.xml,142,298,281,327
Data/images/N225.xml,775,1142,965,1101
Data/images/N172.xml,147,370,133,184
Data/images/N107.xml,207,356,174,287
Data/images/N28.xml,738,1009,654,722
Data/images/N171.xml,13,444,137,270
Data/images/N187.xml,572,839,461,535
Data/images/N86.xml,448,638,273,338
Data/images/N132.xml,111,320,133,286
Data/images/N111.xml,80,239,364,402
Data/images/N45.xml,107,256,147,180
Data/images/N160.xml,153,251,196,217
Data/images/N153.xml,133,279,352,385
Data/images/N2.xml,1804,2493,1734,1882
Data/images/N223.xml,69,585,79,183
Data/images/N78.xml,146,302,160,196
Data/images/N233.xml,99,223,20,50
Data/images/N158.xml,122,224,268,292
Data/images/N127.xml,24,142,209,245
Data/images/N70.xml,186,395,376,430
Data/images/N69.xml,637,840,464,549
Data/images/N24.xml,151,280,193,224
Data/images/N6.xml,858,1122,611,676
Data/images/N35.xml,97,229,338,378
Data/images/N50.xml,101,397,223,291
Data/images/N240.xml,164,285,99,137
